feature,coeffs
Administration of Justice,-18.09891718
Antitrust,-6.916896046
Arson,26.19892834
Assault,13.73314215
Bribery/Corruption,-3.430918183
Burglary/Tresspass,-12.54926394
Child Pornography,68.71426569
Commercialized Vice,-7.080359626
Drug Possession,-14.88715625
Drug Trafficking,1.556650568
Environmental,-2.737103788
Extortion/Racketeering,0.034167709
Firearms,4.871226573
Food and Drug,0
Forgery/Counter,-12.85173296
Fraud/Theft/Embezzlement,0
Immigration,-22.18095116
Individual Rights,4.144653736
Kidnapping,107.1177823
Manslaughter,45.34432249
Money Laundering,17.138292
Murder,229.7222952
National Defense,11.42803424
Obscenity/Other Sex Offenses,-16.82920609
Prison Offenses,-27.95137792
Robbery,29.93467519
Sex Abuse,170.6279496
Stalking/Harassing,-12.03827744
Tax,-3.510377121
Other,-12.40699798
