state,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop
Alabama,3917166,2595046,0.662480477,0.337519523,3667,94.0,0.34196891191709844,0.6580310880829016,0.3205115650829016,-0.3205115650829016
Alaska,554003,349626,0.631090445,0.368909555,612,110.0,0.4591503267973856,0.5408496732026145,0.1719401182026144,-0.17194011820261446
Arizona,5541976,3549308,0.640440882,0.35955911799999996,18052,326.0,0.05290272545978285,0.9470972745402172,0.5875381565402172,-0.5875381565402172
Arkansas,2312273,1683440,0.728045521,0.271954479,2830,122.0,0.36289752650176677,0.6371024734982332,0.3651479944982332,-0.3651479944982332
California,30827105,13443813,0.43610365,0.56389635,20655,67.0,0.13667392883079157,0.8633260711692085,0.2994297211692084,-0.2994297211692084
Colorado,4509576,3308162,0.73358604,0.26641395999999995,1714,38.0,0.2526254375729288,0.7473745624270711,0.4809606024270712,-0.48096060242707117
Connecticut,2869227,1989916,0.693537319,0.30646268099999996,1226,43.0,0.2544861337683524,0.7455138662316476,0.43905118523164766,-0.43905118523164766
Delaware,783543,500550,0.638829011,0.361170989,322,41.0,0.2236024844720497,0.7763975155279503,0.41522652652795033,-0.41522652652795033
District of Columbia,575161,244170,0.424524611,0.575475389,1026,178.0,0.1695906432748538,0.8304093567251463,0.2549339677251462,-0.2549339677251463
Florida,17339232,10438522,0.602017552,0.39798244800000004,11971,69.0,0.18561523682232062,0.8143847631776794,0.41640231517767934,-0.41640231517767934
Georgia,8220274,4465194,0.543192842,0.45680715800000005,5170,63.0,0.2297872340425532,0.7702127659574468,0.31340560795744676,-0.31340560795744676
Hawaii,1155905,290286,0.251133095,0.7488669050000001,555,48.0,0.1837837837837838,0.8162162162162162,0.06734931121621618,-0.06734931121621612
Idaho,1376400,1156336,0.840116245,0.15988375499999996,1229,89.0,0.5183075671277462,0.48169243287225383,0.32180867787225387,-0.32180867787225387
Illinois,9999469,6382030,0.63823689,0.36176311000000005,4180,42.0,0.30526315789473685,0.6947368421052631,0.3329737321052631,-0.33297373210526304
Indiana,5192579,4137310,0.796773626,0.203226374,3052,59.0,0.3469855832241153,0.6530144167758847,0.4497880427758847,-0.4497880427758847
Iowa,2450103,2126641,0.867980244,0.13201975600000004,3159,129.0,0.48148148148148145,0.5185185185185186,0.3864987625185185,-0.38649876251851856
Kansas,2229316,1743825,0.782224234,0.21777576600000004,1546,69.0,0.41979301423027165,0.5802069857697283,0.3624312197697283,-0.36243121976972825
Kentucky,3483900,2933597,0.842043974,0.15795602600000003,2919,84.0,0.48612538540596095,0.513874614594039,0.355918588594039,-0.355918588594039
Louisiana,3570548,2124511,0.595009786,0.404990214,2509,70.0,0.25627740135512156,0.7437225986448784,0.3387323846448784,-0.3387323846448784
Maine,1110085,1023211,0.921741128,0.07825887200000003,619,56.0,0.6235864297253635,0.3764135702746365,0.2981546982746365,-0.2981546982746365
Maryland,4815202,2461512,0.511196,0.488804,2415,50.0,0.15734989648033126,0.8426501035196687,0.3538461035196687,-0.3538461035196687
Massachusetts,5663723,4086011,0.721435529,0.27856447100000004,1700,30.0,0.2888235294117647,0.7111764705882353,0.43261199958823526,-0.43261199958823526
Michigan,7914602,6021926,0.76086277,0.23913722999999998,3931,50.0,0.2520987026201984,0.7479012973798016,0.5087640673798016,-0.5087640673798016
Minnesota,4389033,3550129,0.808863593,0.191136407,1197,27.0,0.3609022556390977,0.6390977443609023,0.44796133736090227,-0.44796133736090227
Mississippi,2277599,1328758,0.583402961,0.416597039,1924,84.0,0.22193347193347193,0.7780665280665281,0.3614694890665281,-0.3614694890665281
Missouri,4775612,3772337,0.789916978,0.21008302199999995,6490,136.0,0.23682588597842835,0.7631741140215716,0.5530910920215717,-0.5530910920215717
Montana,850123,737204,0.867173338,0.13282666200000004,1308,154.0,0.5321100917431193,0.4678899082568807,0.33506324625688066,-0.33506324625688066
Nebraska,1476127,1199242,0.812424676,0.187575324,1786,121.0,0.33202687569988804,0.6679731243001119,0.480397800300112,-0.4803978003001119
Nevada,2413326,1311982,0.543640602,0.456359398,1415,59.0,0.2862190812720848,0.7137809187279152,0.2574215207279152,-0.25742152072791513
New Hampshire,1120680,1005446,0.89717493,0.10282506999999996,732,65.0,0.5560109289617486,0.44398907103825136,0.3411640010382514,-0.3411640010382514
New Jersey,7281310,4167391,0.572340829,0.42765917099999995,2212,30.0,0.20027124773960217,0.7997287522603979,0.3720695812603979,-0.3720695812603979
