,HISPORIG
0,1
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,1
11,2
12,1
13,2
14,1
15,2
16,2
17,2
18,1
19,1
20,1
21,1
22,2
23,2
24,2
25,1
26,2
27,2
28,1
29,2
30,2
31,1
32,1
33,1
34,2
35,1
36,2
37,1
38,2
39,2
40,2
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,1
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,1
63,2
64,1
65,2
66,1
67,2
68,2
69,2
70,1
71,2
72,1
73,2
74,1
75,1
76,1
77,2
78,1
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,2
92,2
93,2
94,1
95,1
96,2
97,2
98,2
99,2
100,1
101,1
102,1
103,2
104,1
105,1
106,2
107,2
108,2
109,1
110,1
111,0
112,2
113,2
114,1
115,2
116,1
117,2
118,1
119,1
120,0
121,2
122,1
123,2
124,1
125,2
126,2
127,0
128,2
129,1
130,2
131,1
132,2
133,2
134,1
135,2
136,2
137,1
138,2
139,2
140,2
141,1
142,1
143,2
144,1
145,2
146,2
147,1
148,1
149,2
150,2
151,2
152,2
153,2
154,2
155,1
156,2
157,1
158,2
159,0
160,2
161,1
162,2
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,2
171,2
172,2
173,1
174,2
175,1
176,1
177,1
178,2
179,2
180,1
181,1
182,1
183,2
184,1
185,2
186,2
187,2
188,2
189,2
190,1
191,2
192,1
193,1
194,2
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,2
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,2
212,2
213,2
214,1
215,2
216,1
217,2
218,2
219,1
220,1
221,1
222,0
223,2
224,1
225,2
226,2
227,2
228,1
229,2
230,2
231,1
232,2
233,2
234,2
235,2
236,2
237,1
238,2
239,1
240,1
241,1
242,2
243,1
244,1
245,2
246,2
247,2
248,1
249,2
250,1
251,2
252,2
253,2
254,2
255,2
256,2
257,1
258,2
259,1
260,2
261,2
262,2
263,1
264,2
265,2
266,1
267,2
268,2
269,2
270,2
271,2
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,2
283,2
284,2
285,2
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,2
295,1
296,1
297,1
298,1
299,1
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,1
309,1
310,1
311,1
312,1
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,1
323,2
324,1
325,0
326,2
327,2
328,2
329,2
330,1
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,1
339,1
340,2
341,2
342,2
343,2
344,2
345,2
346,1
347,2
348,1
349,2
350,2
351,2
352,2
353,2
354,2
355,1
356,2
357,2
358,1
359,1
360,1
361,1
362,2
363,1
364,1
365,1
366,1
367,2
368,2
369,1
370,2
371,2
372,2
373,1
374,2
375,2
376,2
377,2
378,2
379,1
380,2
381,1
382,2
383,1
384,1
385,0
386,1
387,1
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,1
396,2
397,2
398,2
399,2
400,2
401,1
402,2
403,2
404,1
405,2
406,2
407,1
408,1
409,1
410,1
411,2
412,2
413,1
414,2
415,2
416,1
417,1
418,2
419,1
420,2
421,2
422,1
423,1
424,2
425,1
426,2
427,1
428,1
429,2
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,2
438,1
439,0
440,0
441,2
442,0
443,1
444,1
445,0
446,2
447,2
448,0
449,2
450,2
451,1
452,2
453,2
454,1
455,2
456,2
457,1
458,2
459,1
460,2
461,1
462,1
463,1
464,2
465,1
466,1
467,2
468,2
469,2
470,1
471,2
472,2
473,2
474,1
475,2
476,1
477,2
478,1
479,2
480,2
481,1
482,2
483,2
484,2
485,2
486,1
487,2
488,2
489,1
490,2
491,2
492,2
493,0
494,1
495,1
496,1
497,2
498,1
499,2
500,1
501,1
502,2
503,2
504,2
505,1
506,2
507,1
508,2
509,1
510,1
511,1
512,2
513,1
514,2
515,2
516,1
517,1
518,2
519,2
520,1
521,1
522,1
523,1
524,2
525,1
526,2
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,2
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,2
543,2
544,2
545,2
546,1
547,2
548,1
549,2
550,2
551,1
552,2
553,1
554,2
555,2
556,1
557,2
558,2
559,1
560,2
561,1
562,2
563,2
564,2
565,1
566,1
567,1
568,1
569,2
570,1
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,1
585,2
586,1
587,2
588,2
589,1
590,2
591,1
592,2
593,1
594,1
595,2
596,2
597,2
598,1
599,1
600,2
601,1
602,2
603,1
604,0
605,2
606,1
607,1
608,2
609,2
610,2
611,1
612,2
613,2
614,2
615,2
616,1
617,2
618,1
619,2
620,2
621,2
622,2
623,2
624,2
625,1
626,2
627,2
628,1
629,1
630,2
631,2
632,1
633,2
634,2
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,2
644,1
645,1
646,2
647,1
648,2
649,1
650,1
651,2
652,1
653,1
654,2
655,1
656,1
657,1
658,2
659,1
660,1
661,1
662,1
663,2
664,2
665,2
666,1
667,1
668,1
669,2
670,2
671,2
672,2
673,2
674,2
675,2
676,1
677,2
678,2
679,2
680,2
681,1
682,2
683,2
684,2
685,1
686,2
687,2
688,1
689,0
690,2
691,1
692,1
693,2
694,2
695,1
696,1
697,2
698,1
699,2
700,1
701,1
702,1
703,2
704,1
705,2
706,2
707,2
708,2
709,2
710,2
711,1
712,1
713,2
714,2
715,2
716,2
717,1
718,0
719,1
720,2
721,2
722,2
723,1
724,1
725,1
726,2
727,2
728,1
729,1
730,2
731,0
732,2
733,1
734,2
735,2
736,1
737,1
738,2
739,1
740,1
741,1
742,2
743,2
744,1
745,2
746,2
747,1
748,2
749,1
750,2
751,2
752,2
753,2
754,1
755,1
756,2
757,1
758,0
759,1
760,1
761,1
762,2
763,2
764,1
765,1
766,1
767,1
768,1
769,2
770,1
771,2
772,1
773,1
774,1
775,1
776,1
777,1
778,2
779,1
780,2
781,1
782,2
783,2
784,2
785,1
786,1
787,2
788,2
789,1
790,2
791,1
792,2
793,2
794,1
795,2
796,1
797,2
798,1
799,1
800,2
801,2
802,1
803,1
804,2
805,2
806,1
807,2
808,2
809,1
810,2
811,2
812,1
813,1
814,2
815,2
816,1
817,2
818,1
819,1
820,1
821,0
822,0
823,1
824,1
825,1
826,0
827,1
828,1
829,1
830,1
831,2
832,0
833,2
834,2
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,2
843,1
844,1
845,1
846,1
847,2
848,1
849,2
850,2
851,1
852,2
853,1
854,2
855,2
856,2
857,2
858,1
859,2
860,2
861,1
862,2
863,1
864,1
865,1
866,1
867,2
868,1
869,1
870,2
871,1
872,1
873,2
874,1
875,2
876,1
877,1
878,1
879,2
880,0
881,1
882,2
883,2
884,2
885,2
886,1
887,2
888,2
889,1
890,1
891,1
892,2
893,2
894,1
895,1
896,1
897,2
898,1
899,2
900,1
901,1
902,1
903,2
904,1
905,0
906,2
907,1
908,2
909,1
910,1
911,1
912,2
913,2
914,2
915,1
916,2
917,2
918,2
919,2
920,2
921,2
922,0
923,2
924,1
925,2
926,2
927,1
928,1
929,2
930,2
931,2
932,1
933,1
934,2
935,1
936,1
937,2
938,1
939,2
940,1
941,1
942,1
943,2
944,2
945,1
946,1
947,0
948,1
949,2
950,1
951,1
952,2
953,2
954,1
955,2
956,2
957,2
958,2
959,2
960,2
961,1
962,2
