,state,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop,model_coeffs
0,Alabama,3917166,2595046,0.662480477,0.337519523,3667,94.0,0.3419689119170984,0.6580310880829016,0.3205115650829016,-0.3205115650829016,3.0665303567791242
1,Alaska,554003,349626,0.631090445,0.368909555,612,110.0,0.4591503267973856,0.5408496732026145,0.1719401182026144,-0.1719401182026144,-4.649756822015937
2,Arizona,5541976,3549308,0.640440882,0.3595591179999999,18052,326.0,0.0529027254597828,0.9470972745402172,0.5875381565402172,-0.5875381565402173,-2.076128983970492
3,Arkansas,2312273,1683440,0.728045521,0.271954479,2830,122.0,0.3628975265017667,0.6371024734982332,0.3651479944982332,-0.3651479944982332,6.4940626018559815
4,California,30827105,13443813,0.43610365,0.56389635,20655,67.0,0.1366739288307915,0.8633260711692085,0.2994297211692085,-0.2994297211692084,-8.494444680467424
5,Colorado,4509576,3308162,0.73358604,0.2664139599999999,1714,38.0,0.2526254375729288,0.7473745624270711,0.4809606024270712,-0.4809606024270712,0.054883402374579594
6,Connecticut,2869227,1989916,0.693537319,0.3064626809999999,1226,43.0,0.2544861337683524,0.7455138662316476,0.4390511852316476,-0.4390511852316477,-8.166088248782332
7,Delaware,783543,500550,0.638829011,0.361170989,322,41.0,0.2236024844720497,0.7763975155279503,0.4152265265279503,-0.4152265265279503,-4.565090112814315
8,District of Columbia,575161,244170,0.424524611,0.575475389,1026,178.0,0.1695906432748538,0.8304093567251463,0.2549339677251462,-0.2549339677251463,-8.606237454194327
9,Florida,17339232,10438522,0.602017552,0.397982448,11971,69.0,0.1856152368223206,0.8143847631776794,0.4164023151776793,-0.4164023151776794,14.607875031457601
10,Georgia,8220274,4465194,0.543192842,0.456807158,5169,63.0,0.2296382278970787,0.7703617721029212,0.3135546141029213,-0.3135546141029212,5.601087831250328
11,Hawaii,1155905,290286,0.251133095,0.7488669050000001,555,48.0,0.1837837837837838,0.8162162162162162,0.0673493112162161,-0.0673493112162161,-0.0
12,Idaho,1376400,1156336,0.840116245,0.1598837549999999,1229,89.0,0.5183075671277462,0.4816924328722538,0.3218086778722538,-0.3218086778722538,-5.319879290433922
13,Illinois,9999469,6382030,0.63823689,0.36176311,4179,42.0,0.3053362048336923,0.6946637951663077,0.3329006851663076,-0.3329006851663077,6.367230916064783
14,Indiana,5192579,4137310,0.796773626,0.203226374,3050,59.0,0.3465573770491803,0.6534426229508197,0.4502162489508197,-0.4502162489508197,13.225707499573323
15,Iowa,2450103,2126641,0.867980244,0.132019756,3159,129.0,0.4814814814814814,0.5185185185185186,0.3864987625185185,-0.3864987625185186,20.612902880520362
16,Kansas,2229316,1743825,0.782224234,0.217775766,1546,69.0,0.4197930142302716,0.5802069857697283,0.3624312197697283,-0.3624312197697282,-4.41153114855633
17,Kentucky,3483900,2933597,0.842043974,0.157956026,2919,84.0,0.4861253854059609,0.513874614594039,0.3559185885940391,-0.355918588594039,10.182811272582729
18,Louisiana,3570548,2124511,0.595009786,0.404990214,2509,70.0,0.2562774013551215,0.7437225986448784,0.3387323846448785,-0.3387323846448784,3.831213309529597
19,Maine,1110085,1023211,0.921741128,0.078258872,619,56.0,0.6235864297253635,0.3764135702746365,0.2981546982746365,-0.2981546982746365,-3.6942225167852487
