name,2018,2019,2020,2021,average
United States,326838199,328329953,329484123,331893745,329136505.0
Northeast,56084543,56002934,55849869,57159838,56274296.0
Midwest,68263019,68340091,68316744,68841444,68440324.5
South,124649156,125686544,126662754,127225329,126055945.75
West,77841481,78300384,78654756,78667134,78365938.75
Alabama,4891628,4907965,4921532,5039877,4940250.5
Alaska,736624,733603,731158,732673,733514.5
Arizona,7164228,7291843,7421401,7276316,7288447.0
Arkansas,3012161,3020985,3030522,3025891,3022389.75
California,39437463,39437610,39368078,39237836,39370246.75
Colorado,5697155,5758486,5807719,5812069,5768857.25
Connecticut,3574561,3566022,3557006,3605597,3575796.5
Delaware,966985,976668,986809,1003384,983461.5
District of Columbia,704147,708253,712816,670050,698816.5
Florida,21254926,21492056,21733312,21781128,21565355.5
Georgia,10519389,10628020,10710017,10799566,10664248.0
Hawaii,1423102,1415615,1407006,1441553,1421819.0
Idaho,1752074,1789060,1826913,1900923,1817242.5
Illinois,12724685,12667017,12587530,12671469,12662675.25
Indiana,6698481,6731010,6754953,6805985,6747607.25
Iowa,3149900,3159596,3163561,3193079,3166534.0
Kansas,2912748,2912635,2913805,2934582,2918442.5
Kentucky,4464273,4472345,4477251,4509394,4480815.75
Louisiana,4664450,4658285,4645318,4624047,4648025.0
Maine,1340123,1345770,1350141,1372247,1352070.25
Maryland,6042153,6054954,6055802,6165129,6079509.5
Massachusetts,6885720,6894883,6893574,6984723,6914725.0
Michigan,9987286,9984795,9966555,10050811,9997361.75
Minnesota,5608762,5640053,5657342,5707390,5653386.75
Mississippi,2982879,2978227,2966786,2949965,2969464.25
Missouri,6125986,6140475,6151548,6168187,6146549.0
Montana,1061818,1070123,1080577,1104271,1079197.25
Nebraska,1925512,1932571,1937552,1963692,1939831.75
Nevada,3030725,3090771,3138259,3143991,3100936.5
New Hampshire,1355064,1360783,1366275,1388992,1367778.5
New Jersey,8891730,8891258,8882371,9267130,8983122.25
New Mexico,2093754,2099634,2106319,2115877,2103896.0
New York,19544098,19463131,19336776,19835913,19544979.5
North Carolina,10391358,10501384,10600823,10551162,10511181.75
North Dakota,760062,763724,765309,774948,766010.75
Ohio,11680892,11696507,11693217,11780017,11712658.25
Oklahoma,3943488,3960676,3980783,3986639,3967896.5
Oregon,4183538,4216116,4241507,4246155,4221829.0
Pennsylvania,12809107,12798883,12783254,12964056,12838825.0
Rhode Island,1059338,1058158,1057125,1095610,1067557.75
South Carolina,5091702,5157702,5218040,5190705,5164537.25
South Dakota,879386,887127,892717,895376,888651.5
Tennessee,6778180,6830325,6886834,6975218,6867639.25
Texas,28624564,28986794,29360759,29527941,29125014.5
Utah,3155153,3203383,3249879,3337975,3236597.5
Vermont,624802,624046,623347,645570,629441.25
Virginia,8510920,8556642,8590563,8642274,8575099.75
Washington,7526793,7614024,7693612,7738692,7643280.25
West Virginia,1805953,1795263,1784787,1782959,1792240.5
Wisconsin,5809319,5824581,5832655,5895908,5840615.75
Wyoming,579054,580116,582328,578803,580075.25
